match_date,teams,venue,winner,runs_total,runs_batsman,runs_extras,team1_runs,team2_runs
2023-01-01,Brisbane Heat|Sydney Sixers,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,433,416,17,216,217
2023-01-01,Canterbury|Wellington,"Hagley Oval, Christchurch",Wellington,265,242,23,132,133
2023-01-01,Melbourne Renegades|Perth Scorchers,"Docklands Stadium, Melbourne",Perth Scorchers,311,300,11,155,156
2023-01-01,Wellington|Canterbury,"Hagley Oval, Christchurch",Wellington,281,269,12,140,141
2023-01-02,Adelaide Strikers|Hobart Hurricanes,"Bellerive Oval, Hobart",Hobart Hurricanes,355,338,17,177,178
2023-01-02,Otago|Auckland,"Eden Park Outer Oval, Auckland",Otago,287,261,26,143,144
2023-01-03,India|Sri Lanka,"Wankhede Stadium, Mumbai",India,322,311,11,161,161
2023-01-03,Melbourne Renegades|Melbourne Stars,Melbourne Cricket Ground,Melbourne Renegades,249,234,15,124,125
2023-01-04,Perth Scorchers|Sydney Thunder,Perth Stadium,Sydney Thunder,285,270,15,142,143
2023-01-04,Wellington|Northern Districts,"Basin Reserve, Wellington",Northern Districts,275,258,17,137,138
2023-01-04,Wellington|Northern Districts,"Basin Reserve, Wellington",Wellington,221,193,28,110,111
2023-01-05,Auckland|Central Districts,"Pukekura Park, New Plymouth",Auckland,214,197,17,107,107
2023-01-05,Auckland|Central Districts,"Pukekura Park, New Plymouth",Central Districts,301,287,14,150,151
2023-01-05,Hobart Hurricanes|Adelaide Strikers,Adelaide Oval,Adelaide Strikers,459,432,27,229,230
2023-01-05,Sri Lanka|India,"Maharashtra Cricket Association Stadium, Pune",Sri Lanka,396,370,26,198,198
2023-01-06,Chattogram Challengers|Sylhet Strikers,"Shere Bangla National Stadium, Mirpur",Sylhet Strikers,179,161,18,89,90
2023-01-06,Melbourne Stars|Sydney Sixers,Melbourne Cricket Ground,Sydney Sixers,349,334,15,174,175
2023-01-06,Rangpur Riders|Comilla Victorians,"Shere Bangla National Stadium, Mirpur",Rangpur Riders,318,289,29,159,159
2023-01-07,Brisbane Heat|Perth Scorchers,Perth Stadium,Perth Scorchers,344,327,17,172,172
2023-01-07,Central Districts|Wellington,"Basin Reserve, Wellington",Wellington,210,200,10,105,105
